DateTime,AddedIPs,RemovedIPs
1522092248,0,3
1522092731,2,0
1522093204,0,2
1522094652,2,0
1522095124,0,2
1522097528,0,1
1522098018,2,0
1522098730,1,0
1522100892,1,0
1522103765,0,1
1522104249,0,1
1522107130,1,0
1522113127,0,1
1522113608,1,0
1522115051,1,0
1522116725,1,0
1522117686,0,1
1522140004,1,0
1522149130,0,1
1522152970,1,0
1522174804,0,3
1522175289,2,0
1522190169,0,1
1522193525,1,0
1522197130,0,1
1522199526,1,2
1522200011,2,1
1522200488,1,0
1522201688,1,1
1522202173,1,1
1522202648,1,0
1522203128,1,0
1522204811,0,1
1522207208,1,0
1522210572,0,1
1522214646,0,1
1522215369,1,0
1522218012,1,0
1522223526,0,1
1522224024,1,0
1522224487,0,2
1522224968,2,0
1522260487,0,1
1522260967,0,1
1522264326,1,0
1522269127,1,0
1522270092,0,1
1522275369,0,1
1522275846,1,0
1522278732,0,1
1522280886,2,0
1522284248,0,1
1522286650,0,1
1522287127,1,0
1522288090,0,1
1522288568,1,0
1522289051,0,1
1522290967,1,0
1522297686,0,1
1522309204,1,0
1522311128,0,1
1522314025,1,0
1522319290,0,1
1522319764,1,2
1522320250,2,0
1522323129,0,1
1522323605,1,0
1522325768,0,2
1522326243,2,1
1522331049,1,0
1522337527,0,1
1522338005,1,0
1522339927,1,0
1522345206,0,1
1522346166,0,1
1522346647,1,0
1522349527,0,1
1522353365,0,2
1522353846,2,0
1522355289,1,0
1522356250,1,0
1522358646,0,1
1522359604,0,1
1522361047,0,1
1522362006,1,0
1522373530,0,1
1522374006,1,0
1522375447,1,0
1522377367,0,1
1522378324,0,1
1522380971,1,0
1522381450,1,0
1522392250,0,1
1522393686,1,0
1522400417,0,2
1522400887,2,1
1522402329,0,1
1522402807,1,0
1522404730,1,0
1522407125,1,0
1522413370,0,1
1522415287,1,0
1522436645,0,1
1522454889,0,3
1522455365,2,0
1522456805,1,0
1522458725,0,1
1522460648,0,1
1522461614,0,1
1522462090,1,0
1522476010,0,1
1522480325,1,0
1522485133,0,1
1522487525,0,1
1522488969,1,0
1522489447,2,0
1522492811,0,1
1522493286,0,1
1522494245,1,0
1522494731,0,1
1522495689,1,0
1522497616,1,0
1522501928,0,1
1522518005,0,1
1522521368,1,0
1522522812,0,1
1522524727,0,1
1522534327,1,0
1522543688,0,1
1522546085,0,1
1522555687,1,0
1522559527,0,1
1522568885,1,0
1522574169,1,0
1522577527,0,1
1522578009,1,0
1522588328,0,1
1522593364,1,0
1522607530,0,1
1522612811,0,1
1522615926,1,0
1522622649,0,1
1522625051,0,2
1522625527,3,0
1522632245,0,1
1522632729,1,0
1522635126,0,1
1522638725,1,0
1522645446,0,1
1522649770,1,0
1522651206,1,0
1522653129,0,1
1522657928,1,0
1522673776,0,2
